                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.2257,                 2.9761,                 1.5909,                0.14644,                0.10918,                0.06834,                0.02884,                  2.408,                 3.3659,                 1.7767,              0.0003664,              0.0003664,              0.0003664
                     66,                 2.2235,                 2.9773,                 1.5888,                0.14567,                0.11108,                0.06874,                0.02907,                  2.408,                 3.3628,                 1.7755,              0.0003565,              0.0003565,              0.0003565
                     67,                  2.217,                 2.9651,                  1.585,                0.15527,                0.11158,                0.06941,                0.02922,                 2.4078,                 3.3603,                  1.774,              0.0003466,              0.0003466,              0.0003466
                     68,                 2.2126,                 2.9636,                 1.5807,                0.15187,                0.11306,                0.06985,                0.02932,                 2.4076,                 3.3576,                 1.7731,              0.0003367,              0.0003367,              0.0003367
                     69,                 2.2176,                 2.9609,                 1.5829,                0.15337,                0.11396,                0.06999,                0.02925,                 2.4074,                 3.3554,                 1.7722,              0.0003268,              0.0003268,              0.0003268
                     70,                 2.2143,                 2.9503,                 1.5794,                0.15516,                0.11535,                0.07019,                0.02942,                 2.4068,                 3.3523,                 1.7713,              0.0003169,              0.0003169,              0.0003169
                     71,                 2.2071,                 2.9344,                 1.5783,                0.15387,                0.11497,                0.07051,                0.02934,                 2.4067,                 3.3492,                 1.7707,               0.000307,               0.000307,               0.000307
                     72,                 2.2148,                 2.9454,                 1.5818,                 0.1485,                0.11583,                0.07004,                 0.0294,                 2.4072,                 3.3464,                 1.7699,              0.0002971,              0.0002971,              0.0002971
                     73,                 2.2087,                 2.9381,                 1.5805,                0.15001,                0.11727,                0.07057,                0.02963,                 2.4072,                 3.3445,                 1.7691,              0.0002872,              0.0002872,              0.0002872
                     74,                 2.2009,                 2.9311,                 1.5784,                0.15003,                0.11626,                0.07124,                0.02992,                 2.4072,                 3.3417,                 1.7685,              0.0002773,              0.0002773,              0.0002773
                     75,                 2.2005,                 2.9175,                 1.5726,                0.15111,                0.11841,                0.07145,                0.02988,                 2.4077,                 3.3393,                 1.7678,              0.0002674,              0.0002674,              0.0002674
                     76,                 2.1972,                 2.9132,                 1.5695,                0.15554,                0.11936,                0.07122,                0.02997,                 2.4076,                 3.3375,                 1.7672,              0.0002575,              0.0002575,              0.0002575
                     77,                 2.1949,                 2.9034,                 1.5669,                0.15566,                0.12086,                 0.0718,                0.03004,                 2.4071,                 3.3346,                 1.7663,              0.0002476,              0.0002476,              0.0002476
                     78,                 2.1905,                 2.9004,                   1.56,                0.15718,                0.12089,                0.07293,                0.03029,                  2.407,                 3.3309,                 1.7654,              0.0002377,              0.0002377,              0.0002377
                     79,                 2.1835,                 2.8826,                 1.5613,                0.15504,                0.12228,                0.07319,                 0.0304,                  2.407,                 3.3289,                 1.7644,              0.0002278,              0.0002278,              0.0002278
